run_id,source,archive,source_sha256,line_start,line_end,code_revision,machine_label,dataset,seed,prefix,kind,tasks_with_metrics,planned_tasks,status,config_fingerprint,average_accuracy,last_accuracy,old_accuracy,new_accuracy,forgetting,task0_accuracy,total_seconds,selected_config
"7d16ca3e2140-R006","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/7d16ca3e21_9_13_lora_inherit_3090.log","7d16ca3e21408a34ad9295df6e70f3e078705700fd1d41314d61a8e797b9b4c2","5522","6738","","3090","CUB","1997","cub10_inherit_seed1997_20260913_222029","T10","10","10","metrics_complete","6f64060020e80ea606e9e125cd81c1276913c6934fb9b080cc04264aab5a6eac","93.411","89.95","90.47","85.29","4.1311","96.55","1927.41","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R001","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","37","1048","","5090","ImageNet_R","1993","imgr10_fresh_seed1993_20260913_222131","T10","10","10","metrics_complete","4030a9704f04c16fd0b2d758778ea97c329fb6b4e94243f8fad3c672af9508fd","87.019","82.5","82.09","86.36","5.5922","96.81","2782.75","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R002","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","1048","2277","","5090","ImageNet_R","1993","imgr10_inherit_seed1993_20260913_222131","T10","10","10","metrics_complete","9f2a817862e45def8ab30545a0215cca713d2cf67099683e056cd1e99c499a01","86.828","81.25","80.39","89.29","8.7033","96.52","2798.23","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R003","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","2277","3289","","5090","ImageNet_R","1996","imgr10_fresh_seed1996_20260913_222131","T10","10","10","metrics_complete","8a1cd1e1ff6fd469bcc62531fc8727c7edad8a0b62c886a4d7cf503360985364","86.43900000000001","81.93","81.34","87.17","7.3178","95","2799.47","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R004","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","3289","4516","","5090","ImageNet_R","1996","imgr10_inherit_seed1996_20260913_222131","T10","10","10","metrics_complete","5420bb0b3b82ef2d6df5df284bec4f03d67ecddf2a6e646229b257b3b697b929","85.913","80.83","79.82","89.8","10.5944","94.24","2805.52","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R005","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","4516","5530","","5090","ImageNet_R","1997","imgr10_fresh_seed1997_20260913_222131","T10","10","10","metrics_complete","d6bb662d95738d29ec4986afd1da4a417296822470cbfb1f7c113c83d057ffea","86.316","82.38","81.5","90.48","6.6","94.94","2790.67","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R006","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","5530","6756","","5090","ImageNet_R","1997","imgr10_inherit_seed1997_20260913_222131","T10","10","10","metrics_complete","0523c1d1658e93a17a885411f88a81eb5eb2c754bbb8810975eb71d56ea80cb5","86.084","81.33","80.17","92.01","9.9633","95.13","2803.89","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R007","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","6756","7768","","5090","ImageNet_A","1993","imga10_fresh_seed1993_20260913_222131","T10","10","10","metrics_complete","203070471b49e0f074ee8234e9623c00b478c7cadfc6e7b769108c76e36282a4","75.00899999999999","65.11","64.66","70.16","12.4733","87.43","816.95","{""init_epoch"":20,""epochs"":20,""init_lr"":0.01,""lrate"":0.01,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R008","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","7768","8997","","5090","ImageNet_A","1993","imga10_inherit_seed1993_20260913_222131","T10","10","10","metrics_complete","9f556c74363e3bc8a6afb625ae2b9dd83c62ea6448a2f6480223b8b2c343e64e","74.711","65.17","64.3","75","13.5967","87.43","835.85","{""init_epoch"":20,""epochs"":20,""init_lr"":0.01,""lrate"":0.01,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R009","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","8997","10010","","5090","ImageNet_A","1996","imga10_fresh_seed1996_20260913_222131","T10","10","10","metrics_complete","f73a6718cc13a5cf36abb3e54a1b848e27de5d3941f1078b69f52e8142949fe7","72.997","65.9","64.58","74.27","11.8433","85.71","829.23","{""init_epoch"":20,""epochs"":20,""init_lr"":0.01,""lrate"":0.01,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R010","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","10010","11239","","5090","ImageNet_A","1996","imga10_inherit_seed1996_20260913_222131","T10","10","10","metrics_complete","34f9fc2d4f0d65ba54714eecd567aab66797bfb784d490ca2a17502c02c7062b","73.48","66.36","64.89","75.73","13.6078","85.71","829.92","{""init_epoch"":20,""epochs"":20,""init_lr"":0.01,""lrate"":0.01,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R011","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","11239","12251","","5090","ImageNet_A","1997","imga10_fresh_seed1997_20260913_222131","T10","10","10","metrics_complete","3407c837984971c3b312b392483756ac81a9ff1bfa49d412beb26e4aaf41880e","72.671","64.85","62.97","77.72","12.5511","84.67","818.51","{""init_epoch"":20,""epochs"":20,""init_lr"":0.01,""lrate"":0.01,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"0de62e6f240b-R012","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_5090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/0de62e6f24_9_13_lora_inherit_5090.log","0de62e6f240bb7b3d9edba72fd6e0d9fa3872cdfcdadc1c5f471e20e79440211","12251","13469","","5090","ImageNet_A","1997","imga10_inherit_seed1997_20260913_222131","T10","10","10","metrics_complete","701fd3586af5af6c50538dc9e2008330725f581f9d2c529ada703a3223d6aacf","72.58900000000001","65.7","63.88","78.24","12.11","84.67","814.68","{""init_epoch"":20,""epochs"":20,""init_lr"":0.01,""lrate"":0.01,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"d494cb1063b4-R001","/Users/luxiaogen/Desktop/loda_logs/9-14/9_14_lora_inherit_branches_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/d494cb1063_9_14_lora_inherit_branches_3090.log","d494cb1063b45dbcd3cb31214a61322e55fdffdb4ddd6f9b3d3d66d29c858d8b","56","1303","","3090","CUB","1993","cub10_fresh_seed1993_20260914_084815","T10","10","10","metrics_complete","9f4842d1a4a7e1a8e211638d8337079c85339d69b321c39a07a562fadcc0e9b3","93.675","90.33","90.6","87.83","4.2444","98.38","1916.1","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"d494cb1063b4-R002","/Users/luxiaogen/Desktop/loda_logs/9-14/9_14_lora_inherit_branches_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/d494cb1063_9_14_lora_inherit_branches_3090.log","d494cb1063b45dbcd3cb31214a61322e55fdffdb4ddd6f9b3d3d66d29c858d8b","1303","2550","","3090","CUB","1993","cub10_s_only_seed1993_20260914_084815","T10","10","10","metrics_complete","0882564c6e4691abf295a184f92cee04f0bbd108642a7efe6b92ddaf2b1fb599","93.66300000000001","90.08","90.18","89.13","4.5889","98.38","1928.45","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"d494cb1063b4-R003","/Users/luxiaogen/Desktop/loda_logs/9-14/9_14_lora_inherit_branches_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/d494cb1063_9_14_lora_inherit_branches_3090.log","d494cb1063b45dbcd3cb31214a61322e55fdffdb4ddd6f9b3d3d66d29c858d8b","2550","3798","","3090","CUB","1993","cub10_p_only_seed1993_20260914_084815","T10","10","10","metrics_complete","8d6936ffd0b080c4be597f8cb4e8f06d16f02021eafab457a07198504ec65654","93.66400000000002","90.33","90.65","87.39","4.2","98.38","1923.34","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
